"Accession_Number","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"CP003364.3325984.3327384","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003364.4641594.4642994","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003368.578899.580323","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis DSM 3688"
"CP003377.1817971.1819332","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronobacterium","Natronobacterium gregoryi SP2"
"CP003377.3747740.3749100","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronobacterium","Natronobacterium gregoryi SP2"
"CP003378.664985.666372","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Caldisphaeraceae","Caldisphaera","Caldisphaera lagunensis DSM 15908"
"CP003379.924372.925753","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus","Terriglobus roseus DSM 18391"
"CP003388.1053776.1055279","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Riemerella","Riemerella anatipestifer ATCC 11845 = DSM 15868"
"CP003390.2362913.2364402","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga nitratireducenticrescens"
"CP003390.2596162.2597651","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga nitratireducenticrescens"
"CP003390.3135511.3136997","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga nitratireducenticrescens"
"CP003423.1068522.1070023","Archaea","Crenarchaeota","Thermoprotei","Fervidicoccales","Fervidicoccaceae","Fervidicoccus","Fervidicoccus fontis Kam940"
"CP003481.1678309.1679816","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter cetorum MIT 99-5656"
"CP003504.1295509.1297070","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003504.2735506.2737068","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003555.3251467.3253006","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella kashmirensis WT001"
"CP003629.411329.412776","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.1630915.1632361","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.1831955.1833401","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.3015849.3017296","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003696.628670.630205","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium terpenotabidum Y-11"
"CP003697.853474.855005","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium halotolerans YIM 70093 = DSM 44683"
"CP003697.1495234.1496765","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium halotolerans YIM 70093 = DSM 44683"
"CP003736.16975.18526","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis S735"
"CP003736.323967.325518","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis S735"
"CP003740.24052.25506","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","Octadecabacter antarcticus 307"
"CP003075.2873109.2874547","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium halotolerans B2"
"CP003137.282005.283571","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus claussenii ATCC BAA-344"
"CP003153.1393554.1394975","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","Dechlorosoma suillum PS"
"CP003179.165365.166895","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XVII","Sulfobacillus","Sulfobacillus acidophilus DSM 10332"
"CP003198.1792650.1794057","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Anaerobaculum","Anaerobaculum mobile DSM 13181"
"CP003244.4813271.4814695","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","Rahnella aquatilis CIP 78.65 = ATCC 33071"
"CP003273.1736226.1737638","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003273.4139705.4141169","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003274.119147.120561","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii DSM 17242"
"CP003282.2427747.2429163","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta","Spirochaeta africana DSM 8902"
"CP003282.2960884.2962301","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta","Spirochaeta africana DSM 8902"
"CP003283.378287.379694","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ornithobacterium","Ornithobacterium rhinotracheale DSM 15997"
"CP003321.1081655.1083145","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","Desulfurococcus fermentans DSM 16532"
"CP003326.1003099.1004611","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI","Incertae Sedis","Clostridium acidurici 9a"
"CP003326.3033100.3034612","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI","Incertae Sedis","Clostridium acidurici 9a"
"CP003329.160901.162437","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis 6051-HGW"
"CP003329.166506.168043","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis 6051-HGW"
"CP003346.2105284.2106695","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola vietnamensis DSM 17526"
"CP003346.4754748.4756159","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola vietnamensis DSM 17526"
"CP003348.220167.221584","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium","Desulfitobacterium dehalogenans ATCC 51507"
"CP003349.736606.738016","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Solitalea","Solitalea canadensis DSM 3403"
"CP003359.15569.16986","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Halobacteroides","Halobacteroides halobius DSM 5150"
"CP003359.1830003.1831421","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Halobacteroides","Halobacteroides halobius DSM 5150"
"CP003362.227541.228905","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanomethylovorans","Methanomethylovorans hollandica DSM 15978"
"CP003364.4719479.4720879","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003364.7450543.7451944","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003368.1374622.1376046","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis DSM 3688"
"CP003377.1333054.1334414","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronobacterium","Natronobacterium gregoryi SP2"
"CP003380.2414029.2415520","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga frappieri"
"CP003388.1318253.1319757","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Riemerella","Riemerella anatipestifer ATCC 11845 = DSM 15868"
"CP003388.1837794.1839298","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Riemerella","Riemerella anatipestifer ATCC 11845 = DSM 15868"
"CP003389.128430.129967","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","Corallococcus coralloides DSM 2259"
"CP003504.1515373.1516937","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003557.2086350.2087883","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","Ignavibacteriales Incertae Sedis","Melioribacter","Melioribacter roseus P3M-2"
"CP003629.91598.93044","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.140086.141532","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.945397.946843","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003696.66313.67848","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium terpenotabidum Y-11"
"CP003696.1196943.1198478","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium terpenotabidum Y-11"
"CP003732.1417851.1419378","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermacetogenium","Thermacetogenium phaeum DSM 12270"
"CP003732.1842348.1843875","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermacetogenium","Thermacetogenium phaeum DSM 12270"
"CP003736.418143.419694","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis S735"
"CP003740.359937.361391","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","Octadecabacter antarcticus 307"
"CP003742.311334.312727","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter","Octadecabacter arcticus 238"
"CP003929.2436742.2438103","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronococcus","Natronococcus occultus SP4"
"CP003985.3983930.3985369","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfocapsa","Desulfocapsa sulfexigens DSM 10523"
"CP003992.857115.858529","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Incertae Sedis","Clostridium stercorarium subsp. stercorarium DSM 8532"
"CP004121.4257786.4259286","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","Clostridium saccharoperbutylacetonicum N1-4(HMT)"
"CP004354.829605.831134","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium callunae DSM 20147"
"CP004354.2706878.2708407","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium callunae DSM 20147"
"CP003065.4884776.4886142","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Incertae Sedis","Clostridium clariflavum DSM 19732"
"CP003075.2866082.2867520","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium halotolerans B2"
"CP003096.442271.443789","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermovirga","Thermovirga lienii DSM 17291"
"CP003108.920370.921816","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus orientis DSM 765"
"CP003108.3632996.3634442","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus orientis DSM 765"
"CP003137.1191362.1192926","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus claussenii ATCC BAA-344"
"CP003153.1901384.1902805","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","Dechlorosoma suillum PS"
"CP003156.1353380.1354791","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Owenweeksia","Owenweeksia hongkongensis DSM 17368"
"CP003179.260885.262415","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XVII","Sulfobacillus","Sulfobacillus acidophilus DSM 10332"
"CP003179.2773383.2774913","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XVII","Sulfobacillus","Sulfobacillus acidophilus DSM 10332"
"CP003191.689695.691145","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella","Tannerella forsythia ATCC 43037"
"CP003191.3361853.3363303","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella","Tannerella forsythia ATCC 43037"
"CP003244.411596.413020","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","Rahnella aquatilis CIP 78.65 = ATCC 33071"
"CP003244.1002651.1004075","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","Rahnella aquatilis CIP 78.65 = ATCC 33071"
"CP003244.4496073.4497497","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","Rahnella aquatilis CIP 78.65 = ATCC 33071"
"CP003255.3749874.3751322","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","Thermobacillus composti KWC4"
"CP003257.833952.835372","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Marinitoga","Marinitoga piezophila KA3"
"CP003257.1473018.1474438","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Marinitoga","Marinitoga piezophila KA3"
"CP003264.797704.799235","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Taylorella","Taylorella equigenitalis ATCC 35865"
"CP003273.1268190.1269602","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003273.1551781.1553244","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003273.1755402.1756866","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003273.4150071.4151482","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae DSM 7213"
"CP003326.2471933.2473445","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XI","Incertae Sedis","Clostridium acidurici 9a"
"CP003329.90544.92081","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis 6051-HGW"
"CP003329.96400.97937","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis 6051-HGW"
"CP003329.3177062.3178599","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis 6051-HGW"
"CP003346.67128.68539","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola vietnamensis DSM 17526"
"CP003347.1405586.1407109","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium yongonense 05-1390"
"CP003350.44123.45549","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Frateuria","Frateuria aurantia DSM 6220"
"CP003362.2364537.2365901","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanomethylovorans","Methanomethylovorans hollandica DSM 15978"
"CP003364.5823238.5824638","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003364.7835180.7836580","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Singulisphaera acidiphila DSM 18658"
"CP003368.236508.237932","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis DSM 3688"
"CP003369.947634.949058","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis DSM 3688"
"CP003379.2074474.2075855","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus","Terriglobus roseus DSM 18391"
"CP003380.1725860.1727346","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga frappieri"
"CP003382.861449.862844","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus peraridilitoris DSM 19664"
"CP003382.1237017.1238412","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus peraridilitoris DSM 19664"
"CP003481.153742.155249","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter cetorum MIT 99-5656"
"CP003504.587633.589195","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003504.944587.946155","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003504.1121147.1122709","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae ATCC 9790"
"CP003629.104049.105495","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.2902023.2903469","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003629.3676648.3678094","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","Desulfosporosinus meridiei DSM 13257"
"CP003697.2984056.2985587","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium halotolerans YIM 70093 = DSM 44683"
"CP003732.2629202.2630729","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermacetogenium","Thermacetogenium phaeum DSM 12270"
"CP003736.87764.89315","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis S735"
"CP003837.31375.32899","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola","Glaciecola psychrophila 170"
"CP003154.4379960.4381370","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiocystis","Thiocystis violascens DSM 198"
"CP003179.2765806.2767336","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XVII","Sulfobacillus","Sulfobacillus acidophilus DSM 10332"
"CP003244.4687180.4688604","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","Rahnella aquatilis CIP 78.65 = ATCC 33071"
